,#,Domain,MX,MX records,MTA-STS TXT,MTA-STS TXT VALIDATION,MTA-STS HTTP,MTA-STS HTTP VALIDATION
0,1,comast.com,True,['10 park-mx.above.com.'],0ad094978b47130a6a809a0396525cae21191ed6; v=spf1 -all,False,"{'content_type': 'text/html; charset=UTF-8', 'charset': 'UTF-8', 'version': None, 'mode': None, 'max_age': None, 'mx': [None], 'mx_matches_global': False, 'crlf': False, 'response_text': '', 'compliant': False}",
1,2,outlook.com,True,['5 outlook-com.olc.protection.outlook.com.'],v=STSv1; id=20190225000000Z;,True,"{'content_type': True, 'charset': 'ISO-8859-1', 'version': True, 'mode': True, 'max_age': True, 'mx': ['*.olc.protection.outlook.com'], 'mx_matches_global': False, 'crlf': True, 'response_text': 'version: STSv1\r\nmode: enforce\r\nmx: *.olc.protection.outlook.com\r\nmax_age: 604800\r\n', 'compliant': False}",
2,3,rambler.ru,True,['10 inmx.rambler.ru.'],,,,
3,4,naver.com,True,"['10 mx2.naver.com.', '10 mx1.naver.com.', '10 mx3.naver.com.']",,,,
4,5,hitmail.com,False,False,,,,
5,6,rxdoc.biz,False,False,,,,
6,7,cox.com,True,"['10 mxa-002b3901.gslb.pphosted.com.', '10 mxb-002b3901.gslb.pphosted.com.']",,,,
7,8,126.net,False,False,,,,
8,9,126.com,True,"['10 126mx03.mxmail.netease.com.', '50 126mx00.mxmail.netease.com.', '10 126mx01.mxmail.netease.com.', '10 126mx02.mxmail.netease.com.']",,,,
9,10,comast.net,False,False,,,,
10,11,yandex.com,True,['10 mx.yandex.ru.'],,,,
11,12,wegas.ru,True,"['10 mail.wegas.ru.', '20 mail.wegas.ru.']",,,,
12,13,twc.com,True,['10 pkvw-mx.msg.pkvw.co.charter.net.'],,,,
13,14,icloud.com,True,"['10 mx01.mail.icloud.com.', '10 mx02.mail.icloud.com.']",,,,
14,15,charter.com,True,"['10 ncw.mail.chartercom.com.', '10 nce.mail.chartercom.com.']",,,,
15,16,gmx.com,True,"['10 mx00.gmx.net.', '10 mx01.gmx.net.']",v=STSv1;id=20190416142000Z;,True,"{'content_type': True, 'charset': 'ISO-8859-1', 'version': True, 'mode': True, 'max_age': True, 'mx': ['mx00.gmx.net', 'mx01.gmx.net'], 'mx_matches_global': False, 'crlf': False, 'response_text': 'version: STSv1\nmode: testing\nmx: mx00.gmx.net\nmx: mx01.gmx.net\nmax_age: 604800\n', 'compliant': False}",
16,17,.ddns.org,False,False,,,,
17,18,.findhere.com,False,False,,,,
18,19,.freeservers.com,False,False,,,,
19,20,.zzn.com,False,False,,,,
20,21,1033edge.com,False,False,,,,
21,22,11mail.com,True,['11 mx11.11mail.com.'],,,,
22,23,123.com,False,False,,,,
23,24,123box.net,True,"['5 alt2.aspmx.l.google.com.', '1 aspmx.l.google.com.', '5 alt1.aspmx.l.google.com.', '10 alt3.aspmx.l.google.com.', '10 alt4.aspmx.l.google.com.']",,,,
24,25,123india.com,True,['10 mx.123india.com.cust.hostedemail.com.'],,,,
25,26,123mail.cl,True,['0 123mail-cl.mail.protection.outlook.com.'],,,,
26,27,123qwe.co.uk,False,False,,,,
27,28,150ml.com,True,"['10 in1-smtp.messagingengine.com.', '20 in2-smtp.messagingengine.com.']",v=spf1 include:spf.messagingengine.com ~all,False,"{'content_type': 'text/html; charset=iso-8859-1', 'charset': 'iso-8859-1', 'version': None, 'mode': None, 'max_age': None, 'mx': [None], 'mx_matches_global': False, 'crlf': False, 'response_text': '<!DOCTYPE html>\n<html>\n<head>\n<title>No page found</title>\n<link rel=""stylesheet"" type=""text/css"" href=""https://www.fastmailusercontent.com/filestorage/css/main.css"" />\n</head>\n<body>\n<a name=""Top""></a>\n<h1>No page found</h1>\n<p>We couldn\'t find a page for the link you visited. Please check that you have the correct link and try again.</p>\n<p>If you are the owner of this domain, you can setup a page here by <a href=""https://www.fastmail.help/hc/en-us/articles/1500000280141"">creating a page/website in your account</a>.</p>\n</body>\n</html>\n', 'compliant': False}",
28,29,15meg4free.com,True,"['8 route1.mx.cloudflare.net.', '84 route3.mx.cloudflare.net.', '69 route2.mx.cloudflare.net.']",,,,
29,30,163.com,True,"['10 163mx02.mxmail.netease.com.', '10 163mx01.mxmail.netease.com.', '50 163mx00.mxmail.netease.com.', '10 163mx03.mxmail.netease.com.']",,,,
30,31,1coolplace.com,True,"['10 mx.zoho.com.', '20 mx2.zoho.com.', '50 mx3.zoho.com.']",,,,
31,32,1freeemail.com,False,False,,,,
32,33,1funplace.com,True,['10 box.m1lf.party.'],,,,
33,34,1internetdrive.com,True,"['10 smtp1.mwmail.net.', '50 smtp2.mwmail.net.']",,,,
34,35,1mail.net,True,['10 m.dstorage.fr.'],,,,
35,36,1me.net,True,"['10 mx1.freeola.net.', '10 mx3.freeola.net.', '10 mx2.freeola.net.']",,,,
36,37,1mum.com,True,"['10 mx3.freeola.net.', '10 mx1.freeola.net.', '10 mx2.freeola.net.']",,,,
37,38,1musicrow.com,True,"['10 mx5.emailowl.com.', '10 mx6.emailowl.com.', '10 mx4.emailowl.com.']",,,,
38,39,1netdrive.com,True,"['10 smtp1.mwmail.net.', '50 smtp2.mwmail.net.']",,,,
39,40,1nsyncfan.com,True,['10 mx.generic-isp.com.'],,,,
40,41,1under.com,False,False,,,,
41,42,1webave.com,False,False,,,,
42,43,1webhighway.com,False,False,,,,
43,44,212.com,False,False,,,,
44,45,24horas.com,False,False,,,,
45,46,2911.net,False,False,,,,
46,47,2bmail.co.uk,False,False,,,,
47,48,2d2i.com,False,False,,,,
48,49,2die4.com,True,"['10 mx01.mail.com.', '10 mx00.mail.com.']",,,,
49,50,3000.it,True,"['0 mx2.mailchannels.net.', '0 mx1.mailchannels.net.']",,,,
50,51,321media.com,True,['0 localhost.'],v=spf1 -all,False,"{'error': ""HTTPSConnectionPool(host='mta-sts.321media.com', port=443): Max retries exceeded with url: /.well-known/mta-sts.txt (Caused by SSLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:997)')))""}",
51,52,37.com,True,['5 tw-mx.37.com.'],,,,
52,53,3ammagazine.com,True,['10 mx.stackmail.com.'],,,,
53,54,3dmail.com,True,"['0 smtp-backup.3dmail.com.', '10 smtp.3dmail.com.']",,,,
54,55,3email.com,False,False,,,,
55,56,3xl.net,False,False,,,,
56,57,444.net,False,False,,,,
57,58,4email.com,False,False,,,,
58,59,4email.net,True,"['10 in1-smtp.messagingengine.com.', '20 in2-smtp.messagingengine.com.']",v=spf1 include:spf.messagingengine.com ~all,False,"{'content_type': 'text/html; charset=iso-8859-1', 'charset': 'iso-8859-1', 'version': None, 'mode': None, 'max_age': None, 'mx': [None], 'mx_matches_global': False, 'crlf': False, 'response_text': '<!DOCTYPE html>\n<html>\n<head>\n<title>No page found</title>\n<link rel=""stylesheet"" type=""text/css"" href=""https://www.fastmailusercontent.com/filestorage/css/main.css"" />\n</head>\n<body>\n<a name=""Top""></a>\n<h1>No page found</h1>\n<p>We couldn\'t find a page for the link you visited. Please check that you have the correct link and try again.</p>\n<p>If you are the owner of this domain, you can setup a page here by <a href=""https://www.fastmail.help/hc/en-us/articles/1500000280141"">creating a page/website in your account</a>.</p>\n</body>\n</html>\n', 'compliant': False}",
59,60,4mg.com,True,"['10 mail.bluetie.com.', '10 mx-ws.dca.untd.com.', '10 mx-ws.vgs.untd.com.']",,,,
60,61,4newyork.com,False,False,,,,
61,62,4x4man.com,True,"['10 mx2.freeola.net.', '10 mx3.freeola.net.', '10 mx1.freeola.net.']",,,,
62,63,5iron.com,True,"['0 mxb-00291201.gslb.pphosted.com.', '0 mxa-00291201.gslb.pphosted.com.']",,,,
63,64,5star.com,False,False,,,,
64,65,88.am,True,"['10 mx03.communilink.net.', '10 mx01.communilink.net.', '10 mx02.communilink.net.', '10 mx04.communilink.net.']",,,,
65,66,8848.net,False,False,,,,
66,67,888.nu,False,False,,,,
67,68,97rock.com,True,"['10 bsvf-c.cumulusmedia.com.', '10 bsvf-b.cumulusmedia.net.', '10 bsvf-a.cumulusmedia.net.', '10 bsvf-d.cumulusmedia.com.']",,,,
68,69,aaamail.zzn.com,True,"['20 mx1.emailsrvr.com.', '40 mx2.emailsrvr.com.']",v=spf1 include:emailsrvr.com -all,False,"{'content_type': 'text/html; charset=iso-8859-1', 'charset': 'iso-8859-1', 'version': None, 'mode': None, 'max_age': None, 'mx': [None], 'mx_matches_global': False, 'crlf': False, 'response_text': '<head><title>Not Acceptable!</title></head><body><h1>Not Acceptable!</h1><p>An appropriate representation of the requested resource could not be found on this server. This error was generated by Mod_Security.</p></body></html>', 'compliant': False}",
69,70,aamail.net,True,"['10 eforward2.registrar-servers.com.', '10 eforward3.registrar-servers.com.', '20 eforward5.registrar-servers.com.', '15 eforward4.registrar-servers.com.', '10 eforward1.registrar-servers.com.']",,,,
70,71,aaronkwok.net,True,"['10 mx00.mail.com.', '10 mx01.mail.com.']",,,,
71,72,abbeyroadlondon.co.uk,True,['10 trash.bestinv.org.'],,,,
72,73,abcflash.net,False,False,,,,
73,74,abdulnour.com,True,['0 abdulnour-com.mail.protection.outlook.com.'],,,,
74,75,aberystwyth.com,False,False,,,,
75,76,abolition-now.com,False,False,,,,
76,77,about.com,True,"['30 alt2.aspmx.l.google.com.', '40 aspmx2.googlemail.com.', '50 aspmx3.googlemail.com.', '10 aspmx.l.google.com.', '20 alt1.aspmx.l.google.com.']",,,,
77,78,academycougars.com,False,False,,,,
78,79,acceso.or.cr,True,['1 mail.acceso.or.cr.'],,,,
79,80,access4less.net,True,"['5 mx02.earthlink-vadesecure.net.', '5 mx03.earthlink-vadesecure.net.', '5 mx04.earthlink-vadesecure.net.', '5 mx01.earthlink-vadesecure.net.']",,,,
80,81,accessgcc.com,False,False,,,,
81,82,ace-of-base.com,True,['10 box.m1lf.party.'],,,,
82,83,acmecity.com,False,False,,,,
83,84,acmemail.net,True,['10 banana.beta-inter.net.'],,,,
84,85,acninc.net,True,['10 acninc-net.mx.av-mx.com.'],,,,
85,86,activatormail.com,True,['10 mail.applied-info-mgmt.com.'],,,,
86,87,address.com,True,"['10 mail03.mailtwo.com.', '10 mail04.mailtwo.com.', '10 mail05.mailtwo.com.', '10 mail06.mailtwo.com.', '10 mail07.mailtwo.com.', '20 mail08.mailtwo.com.', '20 mail09.mailtwo.com.', '50 mail10.mailtwo.com.', '10 mail01.mailtwo.com.', '10 mail02.mailtwo.com.']",,,,
87,88,adelphia.net,True,['10 pkvw-mx.msg.pkvw.co.charter.net.'],,,,
88,89,adexec.com,True,"['10 mx00.mail.com.', '10 mx01.mail.com.']",,,,
89,90,adfarrow.com,True,"['10 alt3.aspmx.l.google.com.', '10 alt4.aspmx.l.google.com.', '5 alt1.aspmx.l.google.com.', '5 alt2.aspmx.l.google.com.', '1 aspmx.l.google.com.']",,,,
90,91,adios.net,True,['10 mail.adios.net.'],,,,
91,92,adoption.com,True,['10 aspmx.l.google.com.'],,,,
92,93,ados.fr,True,"['10 mailhub.medcost.fr.', '20 ns1.medcost.fr.']",,,,
93,94,adrenalinefreak.com,True,['10 mx.generic-isp.com.'],,,,
94,95,advalvas.be,True,"['30 mx30.antispam.mailspamprotection.com.', '20 mx20.antispam.mailspamprotection.com.', '10 mx10.antispam.mailspamprotection.com.']",,,,
95,96,aeiou.pt,True,['0 aeiou-smtp-in.m.portugalmail.net.'],,,,
96,97,aemail4u.com,True,['10 mx.generic-isp.com.'],,,,
97,98,aeneasmail.com,True,['10 mail.aeneasmail.com.'],,,,
98,99,afreeinternet.com,False,False,,,,
99,100,africamail.com,True,"['10 mx00.mail.com.', '10 mx01.mail.com.']",,,,
100,101,agoodmail.com,False,False,,,,
101,102,ahaa.dk,True,"['10 mx1.pub.mailpod11-cph3.one.com.', '10 mx2.pub.mailpod11-cph3.one.com.', '10 mx3.pub.mailpod11-cph3.one.com.', '10 mx4.pub.mailpod11-cph3.one.com.']",,,,
102,103,aichi.com,True,['0 localhost.'],v=spf1 -all,False,"{'error': ""HTTPSConnectionPool(host='mta-sts.aichi.com', port=443): Max retries exceeded with url: /.well-known/mta-sts.txt (Caused by SSLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:997)')))""}",
103,104,aim.com,True,['10 mx-aol.mail.gm0.yahoodns.net.'],,,,
104,105,airforce.net,False,False,,,,
105,106,AirForceEmail.com,True,['10 mx.55mail.jp.'],,,,
106,107,airforceemail.com,True,['10 mx.55mail.jp.'],,,,
107,108,airpost.net,True,"['20 in2-smtp.messagingengine.com.', '10 in1-smtp.messagingengine.com.']",v=spf1 include:spf.messagingengine.com ~all,False,"{'content_type': 'text/html; charset=iso-8859-1', 'charset': 'iso-8859-1', 'version': None, 'mode': None, 'max_age': None, 'mx': [None], 'mx_matches_global': False, 'crlf': False, 'response_text': '<!DOCTYPE html>\n<html>\n<head>\n<title>No page found</title>\n<link rel=""stylesheet"" type=""text/css"" href=""https://www.fastmailusercontent.com/filestorage/css/main.css"" />\n</head>\n<body>\n<a name=""Top""></a>\n<h1>No page found</h1>\n<p>We couldn\'t find a page for the link you visited. Please check that you have the correct link and try again.</p>\n<p>If you are the owner of this domain, you can setup a page here by <a href=""https://www.fastmail.help/hc/en-us/articles/1500000280141"">creating a page/website in your account</a>.</p>\n</body>\n</html>\n', 'compliant': False}",
108,109,ajacied.com,False,False,,,,
109,110,ak47.hu,True,['10 mail.index.hu.'],,,,
110,111,aknet.kg,True,['1 mx.aknet.kg.'],,,,
111,112,albawaba.com,True,"['20 alt1.aspmx.l.google.com.', '10 aspmx.l.google.com.']",,,,
112,113,alecsmail.com,True,['10 mx.generic-isp.com.'],,,,
113,114,alex4all.com,False,False,,,,
